time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.65004703902e-07,3.80058284218e-07,10.0018774,0.000358297380706,6.28265619838,0.0,8.90020006774e-07,3.19645657555e-05,0.0625780360759,0.0158276869681,-0.0393739178373,0.0,425.4097112812572,422.0253649143569,425.32138690857016,426.6744779924126
0.12000000000000001,2.21955416424e-05,1.47816573358e-05,10.0111605315,0.00140755492015,6.28013070206,0.0,0.00103018714857,0.000562726925583,0.246836713158,0.0206162261623,-0.0481700984185,0.0,463.3203709310886,462.62751079847715,462.5888522661944,462.9656212244807
0.18,0.000167444564288,8.6469821149e-05,10.0315476176,0.00240454207001,6.27720371825,0.0,0.00414491031035,0.00195668328804,0.432678680016,0.00709346559909,-0.0500376348177,0.0,462.59121414710467,462.4427873686283,464.8655469869648,463.8047853549484
0.23999999999999996,0.000594529023483,0.000271841389232,10.0671787759,0.00292101447027,6.27440734087,0.0,0.0104803324503,0.00428573420026,0.754867358145,0.0114766584649,-0.0405031640151,0.0,502.42860568901165,503.118245548331,502.52496644650665,502.8424155448383
0.3,0.00140307352419,0.000588393353597,10.1142809257,0.00368309885399,6.27185301269,0.0,0.0167099882077,0.00633568899045,0.815160301763,0.0150447520609,-0.0470679419865,0.0,425.1564602017253,424.5926060910988,424.4179631253795,424.72394176524665
0.36000000000000004,0.00265092131848,0.00104851640203,10.1662126402,0.00491270750597,6.26872896446,0.0,0.0251850536274,0.00911209708251,0.915816912951,0.02961981993,-0.0646332321869,0.0,438.4704314844402,437.0070078122525,437.29207221346786,438.504340029984
0.4200000000000001,0.00448802440763,0.00170802474485,10.2250382087,0.00647876165134,6.26544361188,0.0,0.036425437253,0.013049827416,1.04491883488,0.0179242465599,-0.0400457594939,0.0,446.2499578148421,448.25006023718873,447.0883335192983,446.1346645894528
0.48000000000000015,0.00708558881137,0.00264245953494,10.2927348259,0.00768248063361,6.2631412265,0.0,0.0504199503853,0.0182246823684,1.21146715114,0.0240267759922,-0.035222420277,0.0,458.48044802163406,458.8627892426277,458.43886225268216,458.9234053648593
0.5400000000000001,0.0104905816469,0.00388357969041,10.3663461578,0.00898422554075,6.2606949589,0.0,0.0632851463303,0.0232719513267,1.24220510472,0.016570967485,-0.0551859211722,0.0,416.73935389454647,414.98976184688445,416.24836060160777,415.5954870866496
0.6000000000000002,0.0147686750567,0.00547093902416,10.444041989,0.0101326567476,6.25693537902,0.0,0.0796708483939,0.0297494028743,1.34752728539,0.023839042158,-0.085009453621,0.0,441.1470726699715,438.6745443213906,440.1944868567247,440.79541842739445
0.6600000000000003,0.0201774354196,0.00749647514851,10.5303667278,0.0116382268884,6.25229672035,0.0,0.101167013857,0.0379336176511,1.52971965221,0.0274890871924,-0.065194077566,0.0,464.40994019149826,465.95681734296346,462.9277071141546,463.21487984684967
0.7200000000000003,0.0269980773479,0.0100562611734,10.6282532911,0.0132645299421,6.24888828055,0.0,0.126603070328,0.0475810006635,1.73286255904,0.0263258144399,-0.0438398577189,0.0,470.07573068430855,471.7252838947305,470.9060332827458,470.81617506949345
0.7800000000000004,0.0352534565305,0.013167965671,10.7335175098,0.01452453813,6.24638454706,0.0,0.148813333099,0.0562770360301,1.7758667007,0.00734887380071,-0.0378109935314,0.0,421.48480916459397,422.0044502203181,422.2621653672289,420.62205530816317
0.8400000000000004,0.0449333900342,0.0168399276914,10.8425865732,0.015518132231,6.24384105076,0.0,0.174083029077,0.0661953762164,1.85962378987,0.0305107028505,-0.053636896185,0.0,435.88006191746007,434.55446370824495,433.83495028169705,435.7752016549547
0.9000000000000005,0.0562847325001,0.0211724145033,10.9592389465,0.0168408640983,6.24166566845,0.0,0.204570923664,0.0784053272164,2.02848655588,-0.0059789125237,-0.014358742129,0.0,460.48686211351765,463.5824351551403,462.92408346728524,460.0440359229637
0.9600000000000005,0.0694485447003,0.0262347247566,11.084630771,0.0165568838691,6.24053320138,0.0,0.23431514141,0.0903005576114,2.15101151934,-0.00235075974543,-0.0299240063384,0.0,448.8028553969891,447.5378175367392,448.09040473223024,448.38532244504194
1.0200000000000005,0.08449913936,0.0320342998257,11.2191048992,0.0159270663421,6.23848307325,0.0,0.2675717715,0.102979576109,2.33109676739,-0.0365158739674,-0.0444034485445,0.0,467.29595051455846,466.16546970223686,467.0812409275962,464.4092905950023
1.0800000000000005,0.101476312251,0.0385300418343,11.3617396922,0.0138221954486,6.23548632594,0.0,0.298605862545,0.11332513442,2.42319170793,-0.0323565750678,-0.0643367949481,0.0,440.86685690351237,439.215092839342,439.6638724973186,440.00778376094985
1.1400000000000006,0.120313444972,0.045585654729,11.5085090463,0.0119874421487,6.23185215459,0.0,0.329643438718,0.121682708216,2.46900246912,-0.0272430425976,-0.0539390571844,0.0,425.98893024163937,426.8742917036736,424.3034473053865,424.74184871787514
1.2000000000000006,0.141429663302,0.0531872613896,11.664756766,0.0102404349351,6.22861630975,0.0,0.374607928939,0.131481886855,2.73862199078,-0.0331548936716,-0.0539141397586,0.0,494.02450784905,494.02473744847083,493.5285089846899,493.0918220525319
1.2600000000000007,0.16510068057,0.061289692204,11.8330883136,0.00786290288841,6.22558036386,0.0,0.414739881344,0.138367001023,2.87207984018,-0.0575023739401,-0.0446815624355,0.0,454.11909265827677,454.8574796786143,456.2704213700492,454.32156986944926
